num_sylls,combo_no,syll_no,note_vals,add_length,bar_start,bar_end
6,6-205,6,0.5,"","",|
6,6-219,1,1.5,..,|#,""
6,6-219,2,0.5,"","",|
6,6-219,3,0.5,"","",""
6,6-219,4,1.5,..,"",|
6,6-219,5,1.5,..,"",""
6,6-219,6,0.5,"","",|
6,6-221,1,1,.,|#,""
6,6-221,2,1,.,"",|
6,6-221,3,0.5,"","",""
6,6-221,4,1.5,..,"",|
6,6-221,5,1.5,..,"",""
6,6-221,6,0.5,"","",|
6,6-223,1,0.5,"",|#,""
6,6-223,2,1.5,..,"",|
6,6-223,3,0.5,"","",""
6,6-223,4,1.5,..,"",|
6,6-223,5,1.5,..,"",""
6,6-223,6,0.5,"","",|
6,6-245,1,1,.,|#,""
6,6-245,2,0.5,"","",""
6,6-245,3,0.5,"","",|
6,6-245,4,0.5,"","",""
6,6-245,5,0.5,"","",""
6,6-245,6,1,.,"",|
6,6-247,1,0.5,"",|#,""
6,6-247,2,1,.,"",""
6,6-247,3,0.5,"","",|
6,6-247,4,0.5,"","",""
6,6-247,5,0.5,"","",""
6,6-247,6,1,.,"",|
6,6-253,1,0.5,"",|#,""
6,6-253,2,0.5,"","",""
6,6-253,3,1,.,"",|
6,6-253,4,0.5,"","",""
6,6-253,5,0.5,"","",""
6,6-253,6,1,.,"",|
6,6-325,1,0.5,"",|#,""
6,6-325,2,0.5,"","",""
6,6-325,3,0.5,"","",""
6,6-325,4,0.5,"","",|
6,6-325,5,1,.,"",""
6,6-325,6,1,.,"",|
6,6-345,1,1.5,..,|#,""
6,6-345,2,0.5,"","",|
6,6-345,3,1.5,..,"",""
6,6-345,4,0.5,"","",|
6,6-345,5,1,.,"",""
6,6-345,6,1,.,"",|
6,6-347,1,1,.,|#,""
6,6-347,2,1,.,"",|
6,6-347,3,1.5,..,"",""
6,6-347,4,0.5,"","",|
6,6-347,5,1,.,"",""
6,6-347,6,1,.,"",|
6,6-349,1,0.5,"",|#,""
6,6-349,2,1.5,..,"",|
6,6-349,3,1.5,..,"",""
6,6-349,4,0.5,"","",|
6,6-349,5,1,.,"",""
6,6-349,6,1,.,"",|
6,6-363,1,1.5,..,|#,""
6,6-363,2,0.5,"","",|
6,6-363,3,1,.,"",""
6,6-363,4,1,.,"",|
6,6-363,5,1,.,"",""
6,6-363,6,1,.,"",|
6,6-365,1,1,.,|#,""
6,6-365,2,1,.,"",|
6,6-365,3,1,.,"",""
6,6-365,4,1,.,"",|
6,6-365,5,1,.,"",""
6,6-365,6,1,.,"",|
6,6-367,1,0.5,"",|#,""
6,6-367,2,1.5,..,"",|
6,6-367,3,1,.,"",""
6,6-367,4,1,.,"",|
6,6-367,5,1,.,"",""
6,6-367,6,1,.,"",|
6,6-381,1,1.5,..,|#,""
6,6-381,2,0.5,"","",|
6,6-381,3,0.5,"","",""
6,6-381,4,1.5,..,"",|
6,6-381,5,1,.,"",""
6,6-381,6,1,.,"",|
6,6-383,1,1,.,|#,""
6,6-383,2,1,.,"",|
6,6-383,3,0.5,"","",""
6,6-383,4,1.5,..,"",|
6,6-383,5,1,.,"",""
6,6-383,6,1,.,"",|
6,6-385,1,0.5,"",|#,""
6,6-385,2,1.5,..,"",|
6,6-385,3,0.5,"","",""
6,6-385,4,1.5,..,"",|
6,6-385,5,1,.,"",""
6,6-385,6,1,.,"",|
6,6-487,1,0.5,"",|#,""
6,6-487,2,0.5,"","",""
6,6-487,3,0.5,"","",""
6,6-487,4,0.5,"","",|
6,6-487,5,0.5,"","",""
6,6-487,6,1.5,..,"",|
6,6-507,1,1.5,..,|#,""
6,6-507,2,0.5,"","",|
6,6-507,3,1.5,..,"",""
6,6-507,4,0.5,"","",|
6,6-507,5,0.5,"","",""
6,6-507,6,1.5,..,"",|
6,6-509,1,1,.,|#,""
6,6-509,2,1,.,"",|
6,6-509,3,1.5,..,"",""
6,6-509,4,0.5,"","",|
6,6-509,5,0.5,"","",""
6,6-509,6,1.5,..,"",|
6,6-511,1,0.5,"",|#,""
6,6-511,2,1.5,..,"",|
6,6-511,3,1.5,..,"",""
6,6-511,4,0.5,"","",|
6,6-511,5,0.5,"","",""
6,6-511,6,1.5,..,"",|
6,6-525,1,1.5,..,|#,""
6,6-525,2,0.5,"","",|
6,6-525,3,1,.,"",""
6,6-525,4,1,.,"",|
6,6-525,5,0.5,"","",""
6,6-525,6,1.5,..,"",|
6,6-527,1,1,.,|#,""
6,6-527,2,1,.,"",|
6,6-527,3,1,.,"",""
6,6-527,4,1,.,"",|
6,6-527,5,0.5,"","",""
6,6-527,6,1.5,..,"",|
6,6-529,1,0.5,"",|#,""
6,6-529,2,1.5,..,"",|
6,6-529,3,1,.,"",""
6,6-529,4,1,.,"",|
6,6-529,5,0.5,"","",""
6,6-529,6,1.5,..,"",|
6,6-543,1,1.5,..,|#,""
6,6-543,2,0.5,"","",|
